Original Version,New Version,A,B,C,D,E
1,1,A,B,C,D,E
2,2,B,C,D,E,A
3,3,C,D,E,A,B
4,4,D,E,A,B,C
5,5,E,A,B,C,D
6,6,A,B,C,D,E
7,7,B,C,D,E,A
8,8,C,D,E,A,B
9,9,D,E,A,B,C
10,10,E,A,B,C,D
11,11,A,B,C,D,E
12,12,B,C,D,E,A
13,13,C,D,E,A,B
14,14,D,E,A,B,C
15,15,E,A,B,C,D
16,16,A,B,C,D,E
17,17,B,C,D,E,A
18,18,C,D,E,A,B
19,19,D,E,A,B,C
20,20,E,A,B,C,D
21,21,A,B,C,D,E
22,22,B,C,D,E,A
23,23,C,D,E,A,B
24,24,D,E,A,B,C
25,25,E,A,B,C,D
26,26,A,B,C,D,E
27,27,B,C,D,E,A
28,28,C,D,E,A,B
29,29,D,E,A,B,C
30,30,E,A,B,C,D
31,31,A,B,C,D,E
32,32,B,C,D,E,A
33,33,C,D,E,A,B
34,34,D,E,A,B,C
35,35,E,A,B,C,D
36,36,A,B,C,D,E
37,37,B,C,D,E,A
38,38,C,D,E,A,B
39,39,D,E,A,B,C
40,40,E,A,B,C,D
